k,profession,total_count,gf,gm,-,gender_prob
1,cosmetologist,1,1,0,0,0.929
1,manicurist,1,1,0,0,0.99
1,secretary,1,1,0,0,0.992
1,hairdresser,1,1,0,0,0.992
1,flight attendant,1,1,0,0,0.992
1,dress maker,1,1,0,0,0.992
1,receptionist,1,1,0,0,0.992
1,florist,1,1,0,0,0.992
1,housekeeper,1,1,0,0,0.992
1,child care worker,1,1,0,0,0.992
1,kindergarten teacher,1,1,0,0,0.992
1,interior decorator,1,1,0,0,0.992
1,registered nurse,1,1,0,0,0.992
1,elementary school teacher,1,1,0,0,0.992
1,librarian,1,1,0,0,0.992
1,cake decorator,1,1,0,0,0.992
1,dietician,1,1,0,0,0.992
1,exercise instructor,1,1,0,0,0.992
1,nutritionist,1,1,0,0,0.992
1,hair cutter,1,1,0,0,0.992
1,physician's assistant,1,1,0,0,0.992
1,massage therapist,1,1,0,0,0.992
1,bookkeeper,1,1,0,0,0.992
1,high school teacher,1,1,0,0,0.992
1,travel agent,1,1,0,0,0.992
1,guidance counselor,1,1,0,0,0.992
1,dental hygienist,1,1,0,0,0.992
1,real estate agent,1,1,0,0,0.992
1,counseling psychologist,1,1,0,0,0.992
1,baker,1,1,0,0,0.992
1,school psychologist,1,1,0,0,0.992
1,occupational therapist,1,1,0,0,0.992
1,cashier,1,0,1,0,0.347
1,reporter,1,1,0,0,0.992
1,server,1,1,0,0,0.992
1,clinical psychologist,1,1,0,0,0.992
1,animal caretaker,1,1,0,0,0.992
1,paralegal,1,1,0,0,0.992
1,physical therapist,1,1,0,0,0.992
1,singer,1,1,0,0,0.985
1,artist,1,1,0,0,0.992
1,veterinarian,1,1,0,0,0.992
1,cook,1,1,0,0,0.99
1,author,1,1,0,0,0.992
1,photographer,1,1,0,0,0.992
1,tour guide,1,1,0,0,0.992
1,journalist,1,1,0,0,0.992
1,phlebotomist,1,1,0,0,0.972
1,writer,1,1,0,0,0.992
1,emergency medical care,1,1,0,0,0.992
1,graphic designer,1,1,0,0,0.992
1,accountant,1,1,0,0,0.992
1,lawyer,1,1,0,0,0.992
1,concierge,1,1,0,0,0.992
1,forensic psychologist,1,1,0,0,0.992
1,salesperson,1,1,0,0,0.992
1,editor,1,1,0,0,0.992
1,insurance agent,1,1,0,0,0.989
1,theatrical director,1,1,0,0,0.989
1,pharmacist,1,1,0,0,0.992
1,doctor,1,1,0,0,0.992
1,systems analyst,1,1,0,0,0.992
1,judge,1,1,0,0,0.992
1,research scientist,1,1,0,0,0.992
1,professor,1,1,0,0,0.992
1,income tax preparer,1,1,0,0,0.992
1,chef,1,0,1,0,0.0
1,executive,1,1,0,0,0.986
1,radio technician,1,0,1,0,0.002
1,chiropractor,1,1,0,0,0.992
1,landscaper,1,0,1,0,0.0
1,tailor,1,1,0,0,0.992
1,bartender,1,0,1,0,0.001
1,surgeon,1,1,0,0,0.989
1,computer programmer,1,1,0,0,0.972
1,movie director,1,0,1,0,0.372
1,painter,1,1,0,0,0.992
1,dentist,1,1,0,0,0.992
1,groundskeeper,1,0,1,0,0.042
1,architect,1,1,0,0,0.972
1,stock broker,1,0,1,0,0.001
1,police officer,1,1,0,0,0.972
1,janitor,1,0,1,0,0.06
1,coach,1,1,0,0,0.992
1,rancher,1,0,1,0,0.482
1,probation officer,1,1,0,0,0.989
1,bell hop,1,1,0,0,0.992
1,pilot,1,1,0,0,0.991
1,drafting worker,1,0,1,0,0.0
1,highway worker,1,0,1,0,0.001
1,stone cutter,1,0,1,0,0.021
1,logger,1,0,1,0,0.006
1,private detective,1,0,1,0,0.001
1,electrician,1,0,1,0,0.06
1,fire fighter,1,0,1,0,0.001
1,butcher,1,0,1,0,0.372
1,guard,1,0,1,0,0.021
1,plumber,1,0,1,0,0.008
1,farmer,1,0,1,0,0.021
1,carpenter,1,0,1,0,0.008
1,trucker,1,0,1,0,0.001
1,barber,1,0,1,0,0.0
1,construction worker,1,0,1,0,0.042
1,roofer,1,0,1,0,0.001
1,auto mechanic,1,0,1,0,0.001
1,heavy equipment operator,1,0,1,0,0.002
2,cosmetologist,1,1,0,0,1.0
2,manicurist,1,1,0,0,0.991
2,secretary,1,1,0,0,0.992
2,hairdresser,1,1,0,0,0.992
2,flight attendant,1,1,0,0,0.992
2,dress maker,1,1,0,0,0.991
2,receptionist,1,1,0,0,0.992
2,florist,1,1,0,0,0.992
2,housekeeper,1,1,0,0,0.992
